service_id,date,exception_type
124283,20211013,1
124288,20211013,1
124297,20211013,1
124302,20211013,1
124308,20211013,1
124313,20211013,1
124322,20211013,1
124328,20211013,1
124333,20211013,1
124338,20211013,1
124347,20211013,1
124352,20211013,1
124357,20211013,1
124362,20211013,1
124367,20211013,1
124372,20211013,1
124377,20211013,1
124382,20211013,1
124387,20211013,1
124388,20211013,1
124393,20211013,1
124394,20211013,1
124399,20211013,1
124404,20211013,1
124409,20211013,1
124414,20211013,1
124419,20211013,1
124424,20211013,1
124429,20211013,1
124434,20211013,1
124435,20211013,1
124440,20211013,1
124445,20211013,1
124450,20211013,1
124451,20211013,1
124452,20211013,1
124457,20211013,1
124462,20211013,1
124467,20211013,1
124472,20211013,1
124473,20211013,1
124478,20211013,1
124479,20211013,1
124484,20211013,1
124485,20211013,1
124490,20211013,1
124495,20211013,1
124500,20211013,1
124501,20211013,1
124502,20211013,1
124503,20211013,1
124508,20211013,1
124509,20211013,1
124514,20211013,1
124519,20211013,1
124524,20211013,1
124525,20211013,1
124530,20211013,1
124535,20211013,1
124540,20211013,1
124545,20211013,1
124550,20211013,1
124551,20211013,1
124552,20211013,1
124553,20211013,1
124558,20211013,1
124563,20211013,1
124564,20211013,1
124569,20211013,1
124570,20211013,1
124575,20211013,1
124580,20211013,1
124585,20211013,1
124590,20211013,1
124595,20211013,1
124600,20211013,1
124605,20211013,1
124610,20211013,1
124615,20211013,1
124620,20211013,1
124625,20211013,1
124626,20211013,1
124627,20211013,1
124632,20211013,1
124637,20211013,1
124642,20211013,1
124643,20211013,1
124648,20211013,1
124653,20211013,1
124658,20211013,1
124663,20211013,1
124668,20211013,1
124669,20211013,1
124670,20211013,1
124671,20211013,1
124676,20211013,1
124681,20211013,1
124684,20211013,1
124689,20211013,1
124694,20211013,1
124699,20211013,1
123608,20211014,1
124040,20211014,1
124045,20211014,1
124050,20211014,1
124055,20211014,1
124058,20211014,1
124063,20211014,1
124068,20211014,1
124073,20211014,1
124078,20211014,1
124083,20211014,1
124088,20211014,1
124093,20211014,1
124098,20211014,1
124103,20211014,1
124108,20211014,1
124113,20211014,1
124118,20211014,1
124123,20211014,1
124128,20211014,1
124133,20211014,1
124138,20211014,1
124143,20211014,1
124148,20211014,1
124153,20211014,1
124158,20211014,1
124163,20211014,1
124168,20211014,1
124173,20211014,1
124174,20211014,1
124175,20211014,1
124180,20211014,1
124185,20211014,1
124190,20211014,1
124195,20211014,1
124200,20211014,1
124205,20211014,1
124206,20211014,1
124211,20211014,1
124222,20211014,1
124227,20211014,1
124228,20211014,1
124229,20211014,1
124230,20211014,1
124233,20211014,1
124238,20211014,1
124243,20211014,1
124248,20211014,1
124253,20211014,1
124258,20211014,1
124263,20211014,1
124268,20211014,1
124273,20211014,1
124278,20211014,1
124281,20211014,1
124282,20211014,1
124283,20211014,1
124288,20211014,1
124297,20211014,1
124302,20211014,1
124308,20211014,1
124313,20211014,1
124322,20211014,1
124328,20211014,1
124333,20211014,1
124338,20211014,1
124347,20211014,1
124352,20211014,1
124357,20211014,1
124362,20211014,1
124367,20211014,1
124372,20211014,1
124377,20211014,1
124382,20211014,1
124387,20211014,1
124388,20211014,1
124393,20211014,1
124394,20211014,1
124399,20211014,1
124404,20211014,1
124409,20211014,1
124414,20211014,1
124419,20211014,1
124424,20211014,1
124429,20211014,1
124434,20211014,1
124435,20211014,1
124440,20211014,1
124445,20211014,1
124450,20211014,1
124451,20211014,1
124452,20211014,1
124457,20211014,1
124462,20211014,1
124467,20211014,1
124472,20211014,1
124473,20211014,1
124478,20211014,1
124479,20211014,1
124484,20211014,1
124485,20211014,1
124490,20211014,1
124495,20211014,1
124500,20211014,1
124501,20211014,1
124502,20211014,1
124503,20211014,1
124508,20211014,1
124509,20211014,1
124514,20211014,1
124519,20211014,1
124524,20211014,1
124525,20211014,1
124530,20211014,1
124535,20211014,1
124540,20211014,1
124545,20211014,1
124550,20211014,1
124551,20211014,1
124552,20211014,1
124553,20211014,1
124558,20211014,1
124563,20211014,1
124564,20211014,1
124569,20211014,1
124570,20211014,1
124575,20211014,1
124580,20211014,1
124585,20211014,1
124590,20211014,1
124595,20211014,1
124600,20211014,1
124605,20211014,1
124610,20211014,1
124615,20211014,1
124620,20211014,1
124625,20211014,1
124626,20211014,1
124627,20211014,1
124632,20211014,1
124637,20211014,1
124642,20211014,1
124643,20211014,1
124648,20211014,1
124653,20211014,1
124658,20211014,1
124663,20211014,1
124668,20211014,1
124669,20211014,1
124670,20211014,1
124671,20211014,1
124676,20211014,1
124681,20211014,1
124684,20211014,1
124689,20211014,1
124694,20211014,1
124699,20211014,1
123608,20211015,1
124040,20211015,1
124045,20211015,1
124050,20211015,1
124055,20211015,1
124058,20211015,1
124063,20211015,1
124068,20211015,1
124073,20211015,1
124078,20211015,1
124083,20211015,1
124088,20211015,1
124093,20211015,1
124098,20211015,1
124103,20211015,1
124108,20211015,1
124113,20211015,1
124118,20211015,1
124123,20211015,1
124128,20211015,1
124133,20211015,1
124138,20211015,1
124143,20211015,1
124148,20211015,1
124153,20211015,1
124158,20211015,1
124163,20211015,1
124168,20211015,1
124173,20211015,1
124174,20211015,1
124175,20211015,1
124180,20211015,1
124185,20211015,1
124190,20211015,1
124195,20211015,1
124200,20211015,1
124205,20211015,1
124206,20211015,1
124211,20211015,1
124222,20211015,1
124227,20211015,1
124228,20211015,1
124229,20211015,1
124230,20211015,1
124233,20211015,1
124238,20211015,1
124243,20211015,1
124248,20211015,1
124253,20211015,1
124258,20211015,1
124263,20211015,1
124268,20211015,1
124273,20211015,1
124278,20211015,1
124281,20211015,1
124282,20211015,1
124283,20211015,1
124288,20211015,1
124297,20211015,1
124302,20211015,1
124308,20211015,1
124313,20211015,1
124322,20211015,1
124328,20211015,1
124333,20211015,1
124338,20211015,1
124347,20211015,1
124352,20211015,1
124357,20211015,1
124362,20211015,1
124367,20211015,1
124372,20211015,1
124377,20211015,1
124382,20211015,1
124387,20211015,1
124388,20211015,1
124393,20211015,1
124394,20211015,1
124399,20211015,1
124404,20211015,1
124409,20211015,1
124414,20211015,1
124419,20211015,1
124424,20211015,1
124429,20211015,1
124434,20211015,1
124435,20211015,1
124440,20211015,1
124445,20211015,1
124450,20211015,1
124451,20211015,1
124452,20211015,1
124457,20211015,1
124462,20211015,1
124467,20211015,1
124472,20211015,1
124473,20211015,1
124478,20211015,1
124479,20211015,1
124484,20211015,1
124485,20211015,1
124490,20211015,1
124495,20211015,1
124500,20211015,1
124501,20211015,1
124502,20211015,1
124503,20211015,1
124508,20211015,1
124509,20211015,1
124514,20211015,1
124519,20211015,1
124524,20211015,1
124525,20211015,1
124530,20211015,1
124535,20211015,1
124540,20211015,1
124545,20211015,1
124550,20211015,1
124551,20211015,1
124552,20211015,1
124553,20211015,1
124558,20211015,1
124563,20211015,1
124564,20211015,1
124569,20211015,1
124570,20211015,1
124575,20211015,1
124580,20211015,1
124585,20211015,1
124590,20211015,1
124595,20211015,1
124600,20211015,1
124605,20211015,1
124610,20211015,1
124615,20211015,1
124620,20211015,1
124625,20211015,1
124626,20211015,1
124627,20211015,1
124632,20211015,1
124637,20211015,1
124642,20211015,1
124643,20211015,1
124648,20211015,1
124653,20211015,1
124658,20211015,1
124663,20211015,1
124668,20211015,1
124669,20211015,1
124670,20211015,1
124671,20211015,1
124676,20211015,1
124681,20211015,1
124684,20211015,1
124689,20211015,1
124694,20211015,1
124699,20211015,1
124039,20211016,1
124044,20211016,1
124049,20211016,1
124054,20211016,1
124057,20211016,1
124062,20211016,1
124067,20211016,1
124072,20211016,1
124077,20211016,1
124082,20211016,1
124087,20211016,1
124092,20211016,1
124097,20211016,1
124102,20211016,1
124107,20211016,1
124112,20211016,1
124117,20211016,1
124122,20211016,1
124127,20211016,1
124132,20211016,1
124137,20211016,1
124142,20211016,1
124147,20211016,1
124152,20211016,1
124157,20211016,1
124162,20211016,1
124167,20211016,1
124172,20211016,1
124179,20211016,1
124184,20211016,1
124189,20211016,1
124194,20211016,1
124199,20211016,1
124204,20211016,1
124210,20211016,1
124221,20211016,1
124226,20211016,1
124232,20211016,1
124237,20211016,1
124242,20211016,1
124247,20211016,1
124252,20211016,1
124257,20211016,1
124262,20211016,1
124267,20211016,1
124272,20211016,1
124277,20211016,1
124280,20211016,1
124287,20211016,1
124292,20211016,1
124296,20211016,1
124301,20211016,1
124307,20211016,1
124312,20211016,1
124317,20211016,1
124321,20211016,1
124327,20211016,1
124332,20211016,1
124337,20211016,1
124342,20211016,1
124346,20211016,1
124351,20211016,1
124356,20211016,1
124361,20211016,1
124366,20211016,1
124371,20211016,1
124376,20211016,1
124381,20211016,1
124386,20211016,1
124392,20211016,1
124398,20211016,1
124403,20211016,1
124408,20211016,1
124413,20211016,1
124418,20211016,1
124423,20211016,1
124428,20211016,1
124433,20211016,1
124439,20211016,1
124444,20211016,1
124449,20211016,1
124456,20211016,1
124461,20211016,1
124466,20211016,1
124471,20211016,1
124477,20211016,1
124483,20211016,1
124489,20211016,1
124494,20211016,1
124499,20211016,1
124507,20211016,1
124513,20211016,1
124518,20211016,1
124523,20211016,1
124529,20211016,1
124534,20211016,1
124539,20211016,1
124544,20211016,1
124549,20211016,1
124557,20211016,1
124562,20211016,1
124568,20211016,1
124574,20211016,1
124579,20211016,1
124584,20211016,1
124589,20211016,1
124594,20211016,1
124599,20211016,1
124604,20211016,1
124609,20211016,1
124614,20211016,1
124619,20211016,1
124624,20211016,1
124631,20211016,1
124636,20211016,1
124641,20211016,1
124647,20211016,1
124652,20211016,1
124657,20211016,1
124662,20211016,1
124667,20211016,1
124675,20211016,1
124680,20211016,1
124683,20211016,1
124688,20211016,1
124693,20211016,1
124698,20211016,1
124038,20211017,1
124043,20211017,1
124048,20211017,1
124053,20211017,1
124061,20211017,1
124066,20211017,1
124071,20211017,1
124076,20211017,1
124081,20211017,1
124086,20211017,1
124091,20211017,1
124096,20211017,1
124101,20211017,1
124106,20211017,1
124111,20211017,1
124116,20211017,1
124121,20211017,1
124126,20211017,1
124131,20211017,1
124136,20211017,1
124141,20211017,1
124146,20211017,1
124151,20211017,1
124156,20211017,1
124161,20211017,1
124166,20211017,1
124171,20211017,1
124178,20211017,1
124183,20211017,1
124188,20211017,1
124193,20211017,1
124198,20211017,1
124203,20211017,1
124209,20211017,1
124220,20211017,1
124225,20211017,1
124236,20211017,1
124241,20211017,1
124246,20211017,1
124251,20211017,1
124256,20211017,1
124261,20211017,1
124266,20211017,1
124271,20211017,1
124276,20211017,1
124286,20211017,1
124291,20211017,1
124295,20211017,1
124300,20211017,1
124306,20211017,1
124311,20211017,1
124316,20211017,1
124320,20211017,1
124326,20211017,1
124331,20211017,1
124336,20211017,1
124341,20211017,1
124345,20211017,1
124350,20211017,1
124355,20211017,1
124360,20211017,1
124365,20211017,1
124370,20211017,1
124375,20211017,1
124380,20211017,1
124385,20211017,1
124391,20211017,1
124397,20211017,1
124402,20211017,1
124407,20211017,1
124412,20211017,1
124417,20211017,1
124422,20211017,1
124427,20211017,1
124432,20211017,1
124438,20211017,1
124443,20211017,1
124448,20211017,1
124455,20211017,1
124460,20211017,1
124465,20211017,1
124470,20211017,1
124476,20211017,1
124482,20211017,1
124488,20211017,1
124493,20211017,1
124498,20211017,1
124506,20211017,1
124512,20211017,1
124517,20211017,1
124522,20211017,1
124528,20211017,1
124533,20211017,1
124538,20211017,1
124543,20211017,1
124548,20211017,1
124556,20211017,1
124561,20211017,1
124567,20211017,1
124573,20211017,1
124578,20211017,1
124583,20211017,1
124588,20211017,1
124593,20211017,1
124598,20211017,1
124603,20211017,1
124608,20211017,1
124613,20211017,1
124618,20211017,1
124623,20211017,1
124630,20211017,1
124635,20211017,1
124640,20211017,1
124646,20211017,1
124651,20211017,1
124656,20211017,1
124661,20211017,1
124666,20211017,1
124674,20211017,1
124679,20211017,1
124687,20211017,1
124692,20211017,1
124697,20211017,1
123608,20211018,1
124040,20211018,1
124045,20211018,1
124050,20211018,1
124055,20211018,1
124058,20211018,1
124063,20211018,1
124068,20211018,1
124073,20211018,1
124078,20211018,1
124083,20211018,1
124088,20211018,1
124093,20211018,1
124098,20211018,1
124103,20211018,1
124108,20211018,1
124113,20211018,1
124118,20211018,1
124123,20211018,1
124128,20211018,1
124133,20211018,1
124138,20211018,1
124143,20211018,1
124148,20211018,1
124153,20211018,1
124158,20211018,1
124163,20211018,1
124168,20211018,1
124173,20211018,1
124174,20211018,1
124175,20211018,1
124180,20211018,1
124185,20211018,1
124190,20211018,1
124195,20211018,1
124200,20211018,1
124205,20211018,1
124206,20211018,1
124211,20211018,1
124222,20211018,1
124227,20211018,1
124228,20211018,1
124229,20211018,1
124230,20211018,1
124233,20211018,1
124238,20211018,1
124243,20211018,1
124248,20211018,1
124253,20211018,1
124258,20211018,1
124263,20211018,1
124268,20211018,1
124273,20211018,1
124278,20211018,1
124281,20211018,1
124282,20211018,1
124283,20211018,1
124288,20211018,1
124297,20211018,1
124302,20211018,1
124308,20211018,1
124313,20211018,1
124322,20211018,1
124328,20211018,1
124333,20211018,1
124338,20211018,1
124347,20211018,1
124352,20211018,1
124357,20211018,1
124362,20211018,1
124367,20211018,1
124372,20211018,1
124377,20211018,1
124382,20211018,1
124387,20211018,1
124388,20211018,1
124393,20211018,1
124394,20211018,1
124399,20211018,1
124404,20211018,1
124409,20211018,1
124414,20211018,1
124419,20211018,1
124424,20211018,1
124429,20211018,1
124434,20211018,1
124435,20211018,1
124440,20211018,1
124445,20211018,1
124450,20211018,1
124451,20211018,1
124452,20211018,1
124457,20211018,1
124462,20211018,1
124467,20211018,1
124472,20211018,1
124473,20211018,1
124478,20211018,1
124479,20211018,1
124484,20211018,1
124485,20211018,1
124490,20211018,1
124495,20211018,1
124500,20211018,1
124501,20211018,1
124502,20211018,1
124503,20211018,1
124508,20211018,1
124509,20211018,1
124514,20211018,1
124519,20211018,1
124524,20211018,1
124525,20211018,1
124530,20211018,1
124535,20211018,1
124540,20211018,1
124545,20211018,1
124550,20211018,1
124551,20211018,1
124552,20211018,1
124553,20211018,1
124558,20211018,1
124563,20211018,1
124564,20211018,1
124569,20211018,1
124570,20211018,1
124575,20211018,1
124580,20211018,1
124585,20211018,1
124590,20211018,1
124595,20211018,1
124600,20211018,1
124605,20211018,1
124610,20211018,1
124615,20211018,1
124620,20211018,1
124625,20211018,1
124626,20211018,1
124627,20211018,1
124632,20211018,1
124637,20211018,1
124642,20211018,1
124643,20211018,1
